         10620 function calls (9872 primitive calls) in 0.026 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:739(__exit__)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\topology_description.py:139(known_servers)
        2    0.000    0.000    0.000    0.000 C:\Python34\lib\contextlib.py:37(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\sre_parse.py:140(getwidth)
       38    0.000    0.000    0.000    0.000 {built-in method proxy}
        2    0.000    0.000    0.000    0.000 C:\Python34\lib\threading.py:1067(_wait_for_tstate_lock)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:884(spec_from_file_location)
        4    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        3    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\field_list.py:9(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:268(__exit__)
       43    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {built-in method allocate_lock}
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\bson\son.py:150(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\re.py:235(escape)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\document.py:166(_get_db)
        4    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\bson\son.py:106(__setitem__)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\monitor.py:69(open)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\_collections_abc.py:167(__subclasshook__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:192(acquire)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\thread_util.py:38(acquire)
